x1,x2
15.618181408743272,35.69700927987376
17.057742614815524,22.000183683567297
14.950146859903779,16.90041071672528
11.625020955277188,14.914611492686078
7.817948920186174,14.273415387402181
3.72808084910206,14.460498226672145
-0.6147452919858155,15.362768348451874
-5.215762262391809,16.96495456894167
-10.059576707756213,19.22818540587014
-15.08660029023532,22.04264000883819
-20.18725181143769,25.218911520742648
-25.20751617624309,28.50198290424656
-29.964613144430658,31.602184918043108
-34.271322173729786,34.23365064415975
-37.96415030937183,36.14957406083884
-40.93058726473681,37.16729711765018
-43.13267985234835,37.18834879959089
-44.61911393413636,36.200579420316686
-45.52152393023132,34.26555896480174
-46.034221373527785,31.501010841516013
-46.38119681354878,28.06059064788503
-46.78007465401398,24.11586045694546
-47.41284959907317,19.84369314852145
-48.409099614190275,15.419159150007156
-49.84206972262538,11.011788970875223
-51.73419264816621,6.782374406157157
-54.06714271232908,2.8778847488254597
-56.79173406805683,-0.5770446707543849
-59.83385337770943,-3.492785506975376
-63.09350615346474,-5.831781371990103
-66.43467321175629,-7.630110338244732
-69.66398427812923,-9.024025124890931
-72.49652009480192,-10.283118059835182
-74.50804077938831,-11.854264854004061
-75.0755978351021,-14.42545197114738
-73.31437818945228,-19.02893769302615
-68.02466380544452,-27.228032069921973
-57.64509918329523,-41.51897796402973
-40.06988499338287,-66.42614991721375
-19.530033519356063,79.59301627159634
-17.970933745373365,68.38491285053733
-17.970933745373365,68.38491285053733
-9.61736685898534,38.851832523721974
-9.61736685898534,38.851832523721974
-3.1411920235434683,18.068154995320857
-3.1411920235434683,18.068154995320857
-1.0988237969049544,9.127005799933235
-1.0988237969049544,9.127005799933235
-1.1038398949972095,5.531313893864666
-1.1038398949972095,5.531313893864666
-1.7969912836082267,3.924861975107442
-1.7969912836082267,3.924861975107442
-2.6578893771546626,3.098190902590696
-2.6578893771546626,3.098190902590696
-3.4790612893326425,2.6047011062688816
-3.4790612893326425,2.6047011062688816
-4.160877459389533,2.2473338086437864
-4.160877459389533,2.2473338086437864
-4.64904821088368,1.9269374253063176
-4.64904821088368,1.9269374253063176
-4.915874827457618,1.5993505719269214
-4.915874827457618,1.5993505719269214
-4.954478838109295,1.263096710075047
-4.954478838109295,1.263096710075047
-4.777201233449192,0.9546029538658259
-4.777201233449192,0.9546029538658259
-4.413924969401019,0.7404056200252405
-4.413924969401019,0.7404056200252405
-3.90786290439917,0.7023562595885648
-3.90786290439917,0.7023562595885648
-3.302615446864645,0.9025651561130913
-3.302615446864645,0.9025651561130913
-2.607466851076617,1.2977887792492921
-2.607466851076617,1.2977887792492921
-1.6961184142848444,1.4945972275087387
-1.6961184142848444,1.4945972275087387
-0.000588283152411292,0.0011657183574610968
-0.000588283152411292,0.0011657183574610968
-0.000588283152411292,0.0011657183574610968
-0.000588283152411292,0.0011657183574610968
